Transaction_ID,Customer_ID,Customer_Age,Gender,Country,Product_Category,Product_Price($),Quantity_Purchased,Total_Sale_Amount($),Discount_Applied(%),Final_Sale_Amount($),Payment_Method,Order_Placed_Date,Shipping_Duration(Days),Delivery_Status,Customer_Rating(Out_of_5),Refund_Requested,Loyalty_Member,Profit_Margin(%),Customer_Segment
T10046,C5046,26,Male,Germany,Electronics,282.82,2,565.64,15,480.79,Debit Card,2024-01-19,5,In Transit,1,No,No,14.1,Occasional
T10047,C5047,43,Female,India,Electronics,126.89,7,888.23,0,888.23,Debit Card,2023-12-06,1,Cancelled,2,No,No,5.3,Occasional
T10048,C5048,19,Non-Binary,USA,Home & Kitchen,214.66,1,214.66,0,214.66,PayPal,2024-02-09,14,Returned,2,No,No,11.2,Occasional
T10049,C5049,37,Female,USA,Clothing,397.82,6,2386.92,0,2386.92,Debit Card,2024-07-18,11,Cancelled,2,Yes,No,23.0,Occasional
T10050,C5050,45,Non-Binary,India,Books,20.73,7,145.11,10,130.6,Bank Transfer,2023-08-12,1,Delivered,3,Yes,No,20.1,Regular
T10051,C5051,64,Male,India,Books,392.12,9,3529.08,0,3529.08,PayPal,2023-07-26,3,Cancelled,4,No,Yes,27.9,Premium
T10052,C5052,24,Female,USA,Clothing,123.84,8,990.72,20,792.58,Debit Card,2023-04-24,6,Delivered,1,No,Yes,6.3,Regular
T10053,C5053,61,Male,Germany,Electronics,76.43,6,458.58,15,389.79,Credit Card,2023-09-24,1,Cancelled,5,No,Yes,8.9,Premium
T10054,C5054,25,Non-Binary,Australia,Home & Kitchen,62.27,3,186.81,20,149.45,Credit Card,2024-12-25,14,In Transit,3,No,No,24.7,Regular
T10055,C5055,64,Non-Binary,Australia,Home & Kitchen,18.49,8,147.92,0,147.92,PayPal,2023-03-21,11,Cancelled,1,Yes,No,14.0,Occasional
T10056,C5056,52,Non-Binary,India,Books,264.18,7,1849.26,10,1664.33,PayPal,2023-02-07,12,Delivered,4,Yes,Yes,8.0,Premium
T10057,C5057,31,Male,Australia,Home & Kitchen,113.04,3,339.12,10,305.21,Debit Card,2024-09-13,2,Returned,3,No,No,29.9,Regular
T10058,C5058,34,Male,USA,Clothing,494.77,9,4452.93,15,3784.99,Bank Transfer,2023-01-26,12,Returned,1,Yes,No,24.7,Occasional
T10059,C5059,53,Male,USA,Electronics,289.35,2,578.7,20,462.96,Debit Card,2024-05-02,14,Returned,3,Yes,Yes,15.2,Regular
T10060,C5060,57,Male,India,Clothing,73.25,3,219.75,5,208.76,Credit Card,2024-12-02,7,Delivered,1,No,Yes,25.6,Regular
T10061,C5061,21,Non-Binary,India,Sports,345.94,2,691.88,20,553.5,Bank Transfer,2023-03-09,14,Cancelled,1,No,Yes,22.0,Regular
T10062,C5062,19,Non-Binary,India,Books,449.38,1,449.38,0,449.38,Bank Transfer,2023-07-09,14,Returned,4,No,No,24.7,Regular
T10063,C5063,23,Female,Germany,Home & Kitchen,373.86,4,1495.44,5,1420.67,Bank Transfer,2023-08-08,1,Returned,5,Yes,No,25.4,Regular
T10064,C5064,59,Female,Australia,Sports,42.84,5,214.2,10,192.78,Debit Card,2023-11-19,13,Returned,4,Yes,No,7.1,Regular
T10065,C5065,21,Male,India,Home & Kitchen,448.46,6,2690.76,15,2287.15,Credit Card,2024-01-03,14,In Transit,1,No,Yes,20.6,Regular
T10066,C5066,46,Non-Binary,UK,Electronics,398.0,5,1990.0,15,1691.5,PayPal,2024-07-21,7,Delivered,3,No,Yes,5.2,Regular
T10067,C5067,35,Non-Binary,UK,Electronics,83.36,1,83.36,10,75.02,Debit Card,2023-12-28,4,Delivered,4,Yes,No,6.1,Regular
T10068,C5068,43,Non-Binary,USA,Electronics,30.63,3,91.89,0,91.89,PayPal,2024-05-05,10,Delivered,5,Yes,Yes,27.6,Premium
T10069,C5069,61,Female,Australia,Home & Kitchen,280.87,1,280.87,10,252.78,Bank Transfer,2024-03-08,14,Delivered,1,No,Yes,18.2,Regular
T10070,C5070,51,Female,India,Sports,82.24,5,411.2,0,411.2,Bank Transfer,2023-05-18,6,Delivered,4,Yes,No,23.4,Regular
T10071,C5071,27,Non-Binary,UK,Electronics,418.12,5,2090.6,5,1986.07,Debit Card,2024-12-17,14,In Transit,4,No,Yes,26.0,Premium
T10072,C5072,53,Non-Binary,Australia,Sports,182.38,6,1094.28,10,984.85,Credit Card,2023-03-24,8,Cancelled,4,No,Yes,28.7,Premium
T10073,C5073,31,Non-Binary,USA,Home & Kitchen,456.88,8,3655.04,0,3655.04,Bank Transfer,2024-05-26,9,In Transit,4,Yes,Yes,26.7,Premium
T10074,C5074,48,Female,Germany,Sports,285.02,1,285.02,5,270.77,PayPal,2023-10-06,6,Returned,3,Yes,No,17.1,Regular
T10075,C5075,32,Non-Binary,Australia,Home & Kitchen,95.42,4,381.68,10,343.51,PayPal,2023-03-13,12,In Transit,5,Yes,No,13.4,Regular
T10076,C5076,25,Non-Binary,Australia,Home & Kitchen,74.1,1,74.1,15,62.98,Debit Card,2024-07-06,11,Delivered,5,No,Yes,8.9,Premium
T10077,C5077,31,Male,Germany,Books,290.35,9,2613.15,10,2351.84,PayPal,2023-06-23,13,In Transit,1,No,No,15.0,Occasional
T10078,C5078,40,Male,Australia,Home & Kitchen,382.13,7,2674.91,20,2139.93,Credit Card,2024-05-24,14,Delivered,2,No,No,14.2,Occasional
T10079,C5079,57,Female,USA,Home & Kitchen,391.85,7,2742.95,10,2468.66,Bank Transfer,2023-06-14,9,In Transit,3,No,No,19.0,Regular
T10080,C5080,38,Non-Binary,USA,Clothing,141.5,5,707.5,20,566.0,PayPal,2024-12-25,4,Delivered,1,No,Yes,21.6,Regular
T10081,C5081,33,Non-Binary,Germany,Electronics,106.1,7,742.7,5,705.56,PayPal,2023-09-17,6,Returned,1,No,No,29.5,Occasional
T10082,C5082,62,Male,India,Books,13.29,2,26.58,10,23.92,Bank Transfer,2023-08-22,8,Delivered,4,Yes,Yes,23.2,Premium
T10083,C5083,35,Female,UK,Books,341.2,4,1364.8,5,1296.56,Debit Card,2024-08-28,9,In Transit,2,No,Yes,21.1,Regular
T10084,C5084,64,Male,India,Books,42.9,7,300.3,5,285.29,PayPal,2023-09-30,3,Returned,2,No,No,13.4,Occasional
T10085,C5085,41,Male,Australia,Clothing,213.28,3,639.84,0,639.84,Debit Card,2023-10-14,2,In Transit,3,No,Yes,5.9,Regular
T10086,C5086,43,Male,UK,Home & Kitchen,302.83,2,605.66,5,575.38,Debit Card,2024-04-13,6,Returned,2,No,No,12.2,Occasional
T10087,C5087,42,Male,Germany,Electronics,468.87,2,937.74,5,890.85,PayPal,2023-06-23,4,Cancelled,1,Yes,No,24.2,Occasional
T10088,C5088,62,Non-Binary,Germany,Sports,159.34,1,159.34,10,143.41,Credit Card,2023-03-28,1,Cancelled,2,No,Yes,10.1,Regular
T10089,C5089,58,Non-Binary,UK,Home & Kitchen,128.64,5,643.2,10,578.88,Debit Card,2024-03-21,8,Cancelled,2,Yes,Yes,22.8,Regular
T10090,C5090,46,Male,USA,Clothing,328.81,6,1972.86,15,1676.93,PayPal,2023-05-02,9,In Transit,5,Yes,No,19.5,Regular
T10091,C5091,32,Female,UK,Home & Kitchen,311.52,6,1869.12,0,1869.12,Debit Card,2024-07-09,14,In Transit,1,No,No,9.3,Occasional
T10092,C5092,62,Female,Australia,Home & Kitchen,169.39,9,1524.51,5,1448.28,Bank Transfer,2024-03-08,9,Returned,2,No,No,11.5,Occasional
T10093,C5093,18,Female,USA,Clothing,464.41,4,1857.64,0,1857.64,Credit Card,2024-04-15,2,Returned,2,Yes,No,17.4,Occasional
T10094,C5094,42,Female,Germany,Books,423.21,1,423.21,20,338.57,Credit Card,2023-05-08,9,Returned,4,Yes,Yes,15.5,Premium
T10095,C5095,24,Male,UK,Books,115.87,6,695.22,5,660.46,Bank Transfer,2023-11-08,7,Returned,2,No,Yes,24.5,Regular
T10096,C5096,26,Non-Binary,India,Electronics,123.38,5,616.9,0,616.9,Bank Transfer,2023-01-14,5,Delivered,2,Yes,Yes,23.4,Regular
T10097,C5097,41,Female,India,Electronics,258.59,6,1551.54,15,1318.81,Debit Card,2024-02-10,7,Cancelled,5,No,No,19.4,Regular
T10098,C5098,18,Male,Australia,Books,387.92,3,1163.76,15,989.2,Bank Transfer,2023-04-13,13,Delivered,1,No,Yes,25.6,Regular
T10099,C5099,61,Female,India,Sports,26.8,2,53.6,5,50.92,Credit Card,2023-03-11,9,Delivered,3,Yes,Yes,19.1,Regular
T10100,C5100,25,Female,UK,Home & Kitchen,348.2,6,2089.2,20,1671.36,Bank Transfer,2023-08-23,8,Delivered,1,No,Yes,29.1,Regular
T10101,C5101,41,Male,UK,Sports,325.88,1,325.88,15,277.0,PayPal,2023-03-17,6,Delivered,4,No,Yes,10.4,Premium
T10102,C5102,28,Non-Binary,India,Home & Kitchen,119.58,7,837.06,15,711.5,PayPal,2024-11-20,13,Cancelled,1,No,No,22.9,Occasional
T10103,C5103,34,Non-Binary,UK,Books,342.27,7,2395.89,20,1916.71,Debit Card,2023-03-29,4,Delivered,2,Yes,Yes,14.2,Regular
T10104,C5104,25,Male,Australia,Electronics,470.39,7,3292.73,0,3292.73,Credit Card,2023-04-09,13,Returned,4,Yes,Yes,12.0,Premium
T10105,C5105,52,Non-Binary,USA,Electronics,28.16,1,28.16,15,23.94,PayPal,2023-12-10,1,In Transit,1,Yes,Yes,9.5,Regular
T10106,C5106,52,Male,Australia,Sports,163.23,4,652.92,10,587.63,Bank Transfer,2024-06-15,6,Returned,4,No,Yes,18.8,Premium
T10107,C5107,50,Male,Australia,Electronics,221.9,7,1553.3,15,1320.3,PayPal,2024-05-18,3,In Transit,3,Yes,No,10.4,Regular
T10108,C5108,22,Male,UK,Books,450.13,9,4051.17,0,4051.17,PayPal,2024-11-13,6,Returned,1,Yes,No,10.0,Occasional
T10109,C5109,59,Non-Binary,USA,Sports,481.32,5,2406.6,0,2406.6,Debit Card,2023-01-12,6,Returned,2,Yes,Yes,29.8,Regular
T10110,C5110,56,Male,UK,Home & Kitchen,224.84,2,449.68,5,427.2,Bank Transfer,2023-08-20,14,In Transit,4,No,No,25.0,Regular
T10111,C5111,58,Female,Germany,Electronics,376.26,7,2633.82,10,2370.44,Bank Transfer,2024-12-29,4,Cancelled,5,No,No,23.7,Regular
T10112,C5112,45,Non-Binary,UK,Clothing,268.17,1,268.17,0,268.17,Bank Transfer,2023-04-10,2,Delivered,4,Yes,No,24.9,Regular
T10113,C5113,24,Non-Binary,UK,Electronics,271.2,7,1898.4,20,1518.72,Debit Card,2024-06-19,9,Returned,5,Yes,No,29.2,Regular
T10114,C5114,26,Non-Binary,UK,Home & Kitchen,142.66,6,855.96,10,770.36,Bank Transfer,2023-01-14,2,Cancelled,2,Yes,Yes,19.3,Regular
T10115,C5115,25,Non-Binary,USA,Sports,112.39,7,786.73,10,708.06,Bank Transfer,2024-03-03,3,Delivered,3,No,No,10.5,Regular
T10116,C5116,29,Female,UK,Home & Kitchen,147.56,3,442.68,20,354.14,PayPal,2023-09-05,10,Cancelled,5,Yes,No,26.6,Regular
T10117,C5117,51,Non-Binary,USA,Clothing,280.38,3,841.14,15,714.97,PayPal,2024-12-05,1,Cancelled,3,No,Yes,23.6,Regular
T10118,C5118,50,Non-Binary,India,Books,19.43,7,136.01,20,108.81,Bank Transfer,2023-11-06,7,Delivered,4,No,Yes,15.4,Premium
T10119,C5119,40,Male,Germany,Electronics,454.09,2,908.18,20,726.54,Credit Card,2024-12-01,1,Returned,2,No,Yes,16.8,Regular
T10120,C5120,41,Non-Binary,USA,Sports,82.36,1,82.36,15,70.01,Credit Card,2023-09-07,11,Cancelled,5,Yes,Yes,15.3,Premium
T10121,C5121,54,Female,India,Books,113.94,9,1025.46,15,871.64,Bank Transfer,2023-12-02,9,Returned,4,Yes,No,28.2,Regular
T10122,C5122,52,Female,USA,Home & Kitchen,261.55,9,2353.95,15,2000.86,Credit Card,2024-03-27,11,Returned,1,No,Yes,13.6,Regular
T10123,C5123,61,Female,USA,Sports,356.51,7,2495.57,15,2121.23,Debit Card,2023-04-03,11,Returned,4,No,No,29.1,Regular
T10124,C5124,57,Female,Germany,Books,52.39,7,366.73,15,311.72,PayPal,2024-11-16,1,Delivered,3,No,No,27.8,Regular
T10125,C5125,39,Non-Binary,Australia,Sports,162.26,3,486.78,20,389.42,Debit Card,2023-02-15,5,In Transit,2,No,Yes,20.8,Regular
T10126,C5126,44,Non-Binary,Australia,Clothing,484.49,2,968.98,5,920.53,PayPal,2024-01-24,7,Returned,2,Yes,Yes,19.5,Regular
T10127,C5127,52,Female,USA,Clothing,134.86,7,944.02,5,896.82,Credit Card,2023-04-06,3,In Transit,4,Yes,No,14.3,Regular
T10128,C5128,18,Female,UK,Electronics,159.96,9,1439.64,0,1439.64,Credit Card,2024-12-01,9,In Transit,1,No,No,5.5,Occasional
T10129,C5129,52,Non-Binary,India,Electronics,419.07,1,419.07,5,398.12,Bank Transfer,2024-04-14,8,Cancelled,3,No,Yes,8.2,Regular
T10130,C5130,54,Female,UK,Clothing,29.86,4,119.44,5,113.47,Credit Card,2023-02-09,13,Returned,4,No,Yes,23.9,Premium
T10131,C5131,64,Male,UK,Sports,234.98,6,1409.88,20,1127.9,Credit Card,2024-11-02,3,Returned,4,Yes,Yes,16.8,Premium
T10132,C5132,31,Female,USA,Clothing,192.91,7,1350.37,15,1147.81,Bank Transfer,2023-03-03,5,Returned,2,No,No,8.7,Occasional
T10133,C5133,20,Female,USA,Electronics,161.71,7,1131.97,15,962.17,Bank Transfer,2023-05-16,7,In Transit,3,Yes,No,11.6,Regular
T10134,C5134,18,Male,USA,Clothing,146.42,2,292.84,20,234.27,PayPal,2024-07-17,12,Delivered,1,No,Yes,28.7,Regular
T10135,C5135,22,Male,USA,Clothing,50.23,4,200.92,5,190.87,Credit Card,2024-06-22,14,In Transit,2,Yes,No,14.2,Occasional
T10136,C5136,43,Non-Binary,Australia,Sports,160.84,5,804.2,20,643.36,PayPal,2024-08-31,4,Returned,4,Yes,Yes,27.7,Premium
T10137,C5137,31,Non-Binary,USA,Books,26.31,1,26.31,0,26.31,PayPal,2024-11-16,5,Returned,2,No,No,12.6,Occasional
T10138,C5138,56,Male,Australia,Electronics,391.58,1,391.58,15,332.84,Debit Card,2024-07-11,3,Returned,2,Yes,No,18.6,Occasional
T10139,C5139,44,Male,Australia,Sports,202.12,3,606.36,10,545.72,Credit Card,2023-08-23,9,In Transit,5,Yes,Yes,5.5,Premium
T10140,C5140,26,Non-Binary,USA,Clothing,224.73,3,674.19,0,674.19,Credit Card,2024-01-23,10,Returned,2,Yes,Yes,18.0,Regular
T10141,C5141,32,Female,Germany,Clothing,447.33,8,3578.64,0,3578.64,Debit Card,2024-07-13,9,Cancelled,2,Yes,Yes,20.9,Regular
T10142,C5142,32,Male,India,Books,330.74,9,2976.66,20,2381.33,PayPal,2023-07-24,7,Returned,3,No,No,10.9,Regular
T10143,C5143,43,Non-Binary,UK,Electronics,8.99,1,8.99,5,8.54,Credit Card,2024-10-17,10,Delivered,2,No,No,19.5,Occasional
T10144,C5144,59,Female,Australia,Electronics,471.87,2,943.74,15,802.18,PayPal,2023-03-25,2,Cancelled,1,No,Yes,21.2,Regular
T10145,C5145,30,Male,India,Home & Kitchen,122.39,2,244.78,10,220.3,Debit Card,2023-08-08,7,Returned,4,No,No,22.2,Regular
T10146,C5146,49,Female,Germany,Electronics,58.27,4,233.08,0,233.08,Bank Transfer,2024-11-06,7,Cancelled,3,No,Yes,24.4,Regular
T10147,C5147,56,Non-Binary,UK,Books,385.22,2,770.44,10,693.4,PayPal,2024-04-25,11,Returned,2,Yes,No,12.8,Occasional
T10148,C5148,49,Male,UK,Home & Kitchen,252.74,7,1769.18,5,1680.72,Credit Card,2024-02-19,5,Delivered,1,Yes,Yes,19.2,Regular
T10149,C5149,21,Female,Australia,Home & Kitchen,219.72,9,1977.48,5,1878.61,Bank Transfer,2023-01-28,9,Returned,4,Yes,No,29.5,Regular
T10150,C5150,47,Male,USA,Clothing,128.5,7,899.5,10,809.55,PayPal,2024-07-24,13,Cancelled,3,Yes,No,27.5,Regular
T10151,C5151,54,Female,Germany,Clothing,276.0,6,1656.0,15,1407.6,PayPal,2024-12-05,12,Delivered,1,No,No,28.8,Occasional
T10152,C5152,40,Non-Binary,Australia,Electronics,140.82,1,140.82,5,133.78,Bank Transfer,2023-06-30,11,In Transit,2,No,No,14.7,Occasional
T10153,C5153,56,Non-Binary,Germany,Home & Kitchen,451.28,9,4061.52,10,3655.37,Bank Transfer,2024-10-17,3,Delivered,5,Yes,Yes,24.7,Premium
T10154,C5154,62,Male,USA,Clothing,111.53,5,557.65,0,557.65,Bank Transfer,2023-10-28,4,Delivered,5,No,No,20.5,Regular
T10155,C5155,32,Female,USA,Books,442.76,5,2213.8,10,1992.42,Credit Card,2024-07-19,1,Delivered,3,Yes,Yes,7.1,Regular
T10156,C5156,60,Male,Australia,Clothing,281.91,6,1691.46,10,1522.31,Credit Card,2023-01-04,6,Cancelled,1,Yes,Yes,25.6,Regular
T10157,C5157,46,Male,USA,Clothing,415.1,9,3735.9,20,2988.72,PayPal,2023-07-12,4,Delivered,4,No,Yes,21.9,Premium
T10158,C5158,53,Female,India,Home & Kitchen,357.86,8,2862.88,5,2719.74,PayPal,2023-05-29,1,Returned,1,No,Yes,10.0,Regular
T10159,C5159,30,Female,UK,Home & Kitchen,349.86,8,2798.88,15,2379.05,Debit Card,2024-09-22,2,Delivered,5,No,No,7.0,Regular
T10160,C5160,49,Female,Australia,Sports,165.55,8,1324.4,15,1125.74,Credit Card,2023-11-02,3,Delivered,3,No,Yes,25.9,Regular
T10161,C5161,24,Non-Binary,Germany,Books,120.78,1,120.78,20,96.62,PayPal,2023-01-19,9,Returned,2,No,No,7.0,Occasional
T10162,C5162,39,Male,India,Home & Kitchen,109.39,1,109.39,15,92.98,Bank Transfer,2023-05-12,13,Returned,1,No,No,7.3,Occasional
T10163,C5163,45,Male,Australia,Electronics,429.31,8,3434.48,10,3091.03,Bank Transfer,2023-04-12,8,In Transit,5,No,No,15.7,Regular
T10164,C5164,19,Non-Binary,USA,Books,411.11,5,2055.55,20,1644.44,Credit Card,2023-09-18,7,Delivered,4,Yes,No,8.4,Regular
T10165,C5165,59,Female,USA,Books,223.08,9,2007.72,0,2007.72,Bank Transfer,2023-06-27,13,Cancelled,3,No,Yes,27.8,Regular
T10166,C5166,62,Non-Binary,USA,Home & Kitchen,70.54,2,141.08,5,134.03,Debit Card,2023-04-05,11,Delivered,2,Yes,No,16.8,Occasional
T10167,C5167,23,Non-Binary,USA,Books,194.21,9,1747.89,5,1660.5,PayPal,2024-12-04,12,Delivered,1,Yes,Yes,19.2,Regular
T10168,C5168,45,Non-Binary,Germany,Home & Kitchen,311.58,8,2492.64,5,2368.01,PayPal,2024-07-14,14,Returned,4,No,No,28.2,Regular
T10169,C5169,45,Male,India,Clothing,229.93,9,2069.37,10,1862.43,PayPal,2023-02-07,4,In Transit,2,Yes,No,18.3,Occasional
T10170,C5170,61,Non-Binary,UK,Sports,391.19,4,1564.76,0,1564.76,Credit Card,2024-11-09,1,Delivered,5,No,Yes,13.8,Premium
T10171,C5171,61,Male,Germany,Clothing,498.82,1,498.82,20,399.06,Bank Transfer,2023-09-11,8,Cancelled,5,Yes,No,24.9,Regular
T10172,C5172,37,Male,Germany,Home & Kitchen,99.61,1,99.61,20,79.69,Debit Card,2023-02-09,4,Delivered,4,Yes,No,16.1,Regular
T10173,C5173,47,Male,UK,Home & Kitchen,232.53,5,1162.65,5,1104.52,Credit Card,2023-03-03,3,Cancelled,5,Yes,No,13.0,Regular
T10174,C5174,28,Female,UK,Clothing,218.34,2,436.68,0,436.68,PayPal,2023-11-18,9,Returned,3,No,No,23.1,Regular
T10175,C5175,45,Male,USA,Electronics,155.72,8,1245.76,0,1245.76,Debit Card,2023-07-16,10,In Transit,4,Yes,No,25.0,Regular
T10176,C5176,42,Male,Germany,Electronics,103.06,5,515.3,0,515.3,PayPal,2024-02-29,4,Delivered,5,Yes,Yes,24.8,Premium
T10177,C5177,56,Female,Australia,Electronics,37.52,5,187.6,15,159.46,PayPal,2023-02-15,4,In Transit,1,Yes,No,29.4,Occasional
T10178,C5178,50,Male,UK,Home & Kitchen,444.12,2,888.24,15,755.0,Credit Card,2024-05-25,14,Delivered,5,No,No,24.7,Regular
